dataset,as,bn,gu,hi,kn,ml,mr,or,pa,ta,te
indic-TOP,0.7339316522893166,0.7264299933642999,0.6914288874142889,0.7303649635036497,0.7166821499668214,0.6599955761999557,0.7308637469586374,0.7009809776598097,0.720503207255032,0.7140057509400575,0.7127869940278699
itop,0.9246534427724579,0.9382307341541267,0.9347309621523028,0.9409461924304605,0.9362881896944825,0.9340104879160966,0.9365093479252166,0.9310214318285454,0.9319129046967625,0.9323096215230278,0.9349680802553579
indic-atis,0.9078499440089586,0.9174804031354983,0.9237625979843225,0.9262262038073908,0.9174692049272116,0.9179283314669653,0.9185106382978724,0.9135610302351624,0.9236618141097425,0.9158230683090706,0.9176483762597984
